,C1M_School.closing,datetime
0,0,2020-01-01
1,0,2020-01-02
2,0,2020-01-03
3,0,2020-01-04
4,0,2020-01-05
5,0,2020-01-06
6,0,2020-01-07
7,0,2020-01-08
8,0,2020-01-09
9,0,2020-01-10
10,0,2020-01-11
11,0,2020-01-12
12,0,2020-01-13
13,0,2020-01-14
14,0,2020-01-15
15,0,2020-01-16
16,0,2020-01-17
17,0,2020-01-18
18,0,2020-01-19
19,0,2020-01-20
20,0,2020-01-21
21,0,2020-01-22
22,0,2020-01-23
23,0,2020-01-24
24,0,2020-01-25
25,0,2020-01-26
26,0,2020-01-27
27,0,2020-01-28
28,0,2020-01-29
29,0,2020-01-30
30,0,2020-01-31
31,0,2020-02-01
32,0,2020-02-02
33,0,2020-02-03
34,0,2020-02-04
35,0,2020-02-05
36,0,2020-02-06
37,0,2020-02-07
38,0,2020-02-08
39,0,2020-02-09
40,0,2020-02-10
41,0,2020-02-11
42,0,2020-02-12
43,0,2020-02-13
44,0,2020-02-14
45,0,2020-02-15
46,0,2020-02-16
47,0,2020-02-17
48,0,2020-02-18
49,0,2020-02-19
50,0,2020-02-20
51,0,2020-02-21
52,0,2020-02-22
53,0,2020-02-23
54,0,2020-02-24
55,0,2020-02-25
56,0,2020-02-26
57,0,2020-02-27
58,0,2020-02-28
59,0,2020-02-29
60,0,2020-03-01
61,0,2020-03-02
62,0,2020-03-03
63,0,2020-03-04
64,0,2020-03-05
65,0,2020-03-06
66,0,2020-03-07
67,0,2020-03-08
68,0,2020-03-09
69,0,2020-03-10
70,0,2020-03-11
71,0,2020-03-12
72,0,2020-03-13
73,0,2020-03-14
74,0,2020-03-15
75,0,2020-03-16
76,3,2020-03-17
77,3,2020-03-18
78,3,2020-03-19
79,3,2020-03-20
80,3,2020-03-21
81,3,2020-03-22
82,3,2020-03-23
83,3,2020-03-24
84,3,2020-03-25
85,3,2020-03-26
86,3,2020-03-27
87,3,2020-03-28
88,3,2020-03-29
89,3,2020-03-30
90,3,2020-03-31
91,3,2020-04-01
92,3,2020-04-02
93,3,2020-04-03
94,3,2020-04-04
95,3,2020-04-05
96,3,2020-04-06
97,3,2020-04-07
98,3,2020-04-08
99,3,2020-04-09
100,3,2020-04-10
101,3,2020-04-11
102,3,2020-04-12
103,3,2020-04-13
104,3,2020-04-14
105,3,2020-04-15
106,3,2020-04-16
107,3,2020-04-17
108,3,2020-04-18
109,3,2020-04-19
110,3,2020-04-20
111,3,2020-04-21
112,3,2020-04-22
113,3,2020-04-23
114,3,2020-04-24
